
[28.11.2020 01:00:55]: Santa Rosa De Conlara (SAOS) [brainshot-saos-santa-rosa-de-conlara]: Argentina, San Luis
[28.11.2020 01:00:55]: Corrientes (SARC) [brainshot-sarc-corrientes]: Argentina, Corrientes
[28.11.2020 01:00:55]: Resistencia (SARE) [brainshot-sare-resistencia]: Argentina, Chaco
[28.11.2020 01:00:55]: Formosa (SARF) [brainshot-sarf-formosa]: Argentina, Formosa
[28.11.2020 01:00:55]: Las Lomitas (SATK) [brainshot-satk-las-lomitas]: Argentina, Formosa
[28.11.2020 01:00:55]: Mercedes (SATM) [brainshot-satm-mercedes]: Argentina, Corrientes
[28.11.2020 01:00:55]: Reconquista (SATR) [brainshot-satr-reconquista]: Argentina, Santa Fe
[28.11.2020 01:00:55]: Antoine De Saint Exubery (SAVN) [brainshot-savn-antoine-de-saint]: Argentina, Rio Negro
[28.11.2020 01:00:55]: Comandante Espora (SAZB) [brainshot-sazb-bahia-blanca]: Argentina, Buenos Aires
[28.11.2020 01:00:55]: Olavarria (SAZF) [brainshot-sazf-olavarria]: Argentina, Buenos Aires
[28.11.2020 01:00:55]: Olavarria (SAZF) [brainshot-sazf-olavarria]: Argentina, Buenos Aires
[28.11.2020 01:00:55]: Tres Arroyos (SAZH) [brainshot-sazh-tres-arroyos]: Argentina, Buenos Aires
[28.11.2020 01:00:55]: Santa Rosa (SAZR) [brainshot-sazr-santa-rosa]: Argentina, La Pampa
[28.11.2020 01:00:55]: San Carlos De Bariloche (SAZS) [brainshot-sazs-bariloche]: Argentina, Rio Negro
[28.11.2020 01:00:55]: Termas De Rio Hondo (SANR) [brainshot-termas-de-rio-hondo]: Argentina, Santiago Del Estero
[28.11.2020 01:00:55]: NOT FOUND: brainshot-termas-de-rio-hondo-aerial. Stopped at: aerial
[28.11.2020 01:00:55]: SKIPPED aircraft-tbm930-improvement
[28.11.2020 01:00:55]: SKIPPED workingtitle-gx
[28.11.2020 01:00:55]: Benjamin Matienzo (SANT) [brainshot-sant-tucuman]: , 
[28.11.2020 01:00:55]: SKIPPED aircraft-tbm930-improvement
[28.11.2020 01:00:55]: SKIPPED workingtitle-g3000
[28.11.2020 01:00:55]: SKIPPED aircraft-tbm930-improvement
[28.11.2020 01:00:55]: SKIPPED workingtitle-g1000
[28.11.2020 01:00:55]: SKIPPED aircraft-tbm930-improvement
[28.11.2020 01:00:55]: SKIPPED workingtitle-aircraft-cj4
[28.11.2020 01:00:55]: Auckland Intl (NZAA) [ARNZ-NZAA-Auckland]: , 
[28.11.2020 01:00:55]: Christchurch International Airport (NZCH) [ARNZ-NZCH-Christchurch]: New Zealand, 
[28.11.2020 01:00:55]: Dunedin International Airport (NZDN) [ARNZ-NZDN-Dunedin]: New Zealand, 
